Αριθμός Μητρώου,Ονοματεπώνυμο,Ακαδημαϊκό E-mail,Περίοδος δήλωσης,Τμήμα Τάξης,Κλίμακα βαθμολόγησης,Βαθμολογία,Κατάσταση
2407,ΑΝΑΣΤΑΣΙΟΥ ΣΟΦΙΑ,el2407@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,8,Μη τελικός
2408,ΜΙΧΑΗΛΙΔΗΣ ΝΙΚΟΣ,el2408@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,7,Μη τελικός
2409,ΧΑΤΖΗΔΑΚΗΣ ΑΛΕΞΑΝΔΡΟΣ,el2409@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,6,Μη τελικός
2410,ΛΑΜΠΡΙΝΟΣ ΕΙΡΗΝΗ,el2410@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,10,Μη τελικός
2411,ΒΑΣΙΛΕΙΟΥ ΠΑΝΑΓΙΩΤΗΣ,el2411@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,9,Μη τελικός
2412,ΣΩΤΗΡΙΟΥ ΕΥΑΓΓΕΛΙΑ,el2412@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,8,Μη τελικός
2413,ΚΥΡΙΑΚΟΥ ΜΙΧΑΗΛ,el2413@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,7,Μη τελικός
2414,ΠΑΝΑΓΙΩΤΟΥ ΑΝΑΣΤΑΣΙΑ,el2414@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,6,Μη τελικός
2415,ΔΗΜΗΤΡΙΟΥ ΓΕΩΡΓΙΟΣ,el2415@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,5,Μη τελικός
2416,ΑΛΕΞΙΟΥ ΕΛΕΝΗ,el2416@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,8,Μη τελικός
2417,ΣΤΕΦΑΝΟΥ ΠΕΤΡΟΣ,el2417@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,7,Μη τελικός
2418,ΜΑΡΚΟΥ ΣΟΦΙΑ,el2418@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,9,Μη τελικός
2419,ΝΙΚΟΛΑΟΥ ΑΝΔΡΕΑΣ,el2419@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,6,Μη τελικός
2420,ΓΙΑΝΝΑΚΟΠΟΥΛΟΥ ΕΙΡΗΝΗ,el2420@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,10,Μη τελικός
2421,ΚΩΝΣΤΑΝΤΙΝΟΥ ΠΑΝΑΓΙΩΤΗΣ,el2421@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,9,Μη τελικός
2422,ΣΤΑΥΡΙΔΗΣ ΕΥΑΓΓΕΛΟΣ,el2422@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,8,Μη τελικός
2423,ΑΝΤΩΝΙΟΥ ΜΑΡΙΑ,el2423@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,7,Μη τελικός
2424,ΧΡΥΣΟΣΤΟΜΟΥ ΝΙΚΟΣ,el2424@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,6,Μη τελικός
2425,ΛΥΜΠΕΡΟΠΟΥΛΟΥ ΕΛΕΝΗ,el2425@mail.ntua.gr,2024-2025 ΧΕΙΜ 2024,ΤΕΣΤΑΡΩ (4545),0-10,5,Μη τελικός
